"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"J11","PICOBLADE_1X04_VERT_SMD","1090.945mil","140.433mil","1090.945mil","140.433mil","1164.764mil","194.567mil","T","180.00","PB-I2C2"
"J21","PICOBLADE_1X05_VERT_SMD","2765.945mil","140.433mil","2765.945mil","140.433mil","2864.37mil","194.567mil","T","180.00","PB-UART_LV"
"J20","PICOBLADE_1X04_VERT_SMD","590.945mil","140.433mil","590.945mil","140.433mil","664.764mil","194.567mil","T","180.00","PB-UART2"
"J19","PICOBLADE_1X07_VERT_SMD","2165.945mil","140.433mil","2165.945mil","140.433mil","2313.583mil","194.567mil","T","180.00","PB-SPI1"
"RN9","RES_ARRAY_SMD","3075mil","1303mil","3075mil","1303mil","3122.244mil","1334.496mil","T","180.00","Res Network 1"
"RN8","RES_ARRAY_SMD","3222mil","1303mil","3222mil","1303mil","3269.244mil","1334.496mil","T","180.00","Res Network 1"
"R10","RES_0402[1005M]","3300mil","1231.26mil","3300mil","1231.26mil","3300mil","1251.929mil","B","270.00","RES"
"R9","JUMPER_RES_0402","2700mil","1325mil","2700mil","1325mil","2679.331mil","1325mil","B","360.00","RES"
"R6","RES_0402[1005M]","3150mil","1201.26mil","3150mil","1201.26mil","3150mil","1180.591mil","B","90.00","RES"
"R5","JUMPER_RES_0402","2800mil","1325mil","2800mil","1325mil","2779.331mil","1325mil","B","360.00","RES"
"Q1","SOT363-6","3225mil","1216.26mil","3225mil","1216.26mil","3195.472mil","1251.693mil","B","270.00","BJT NPN DUAL"
"J12","PICOBLADE_1X04_VERT_SMD","1590.945mil","140.433mil","1590.945mil","140.433mil","1664.764mil","194.567mil","T","180.00","PB-I2C2_5V"
"R68","RES_0402[1005M]","1760mil","1505mil","1760mil","1505mil","1760mil","1484.331mil","T","90.00","RES"
"R67","RES_0402[1005M]","1625mil","1690mil","1625mil","1690mil","1625mil","1710.669mil","T","270.00","RES"
"U25","uDFN-6","1520mil","1415mil","1520mil","1415mil","1539.685mil","1433.11mil","T","270.00","#NAME?"
"U24","5-SMD","1660mil","1325mil","1660mil","1325mil","1671.319mil","1305.315mil","T","360.00","#NAME?"
"U23","MAX6/7_GPS","1550mil","950mil","1550mil","950mil","1376.772mil","762.992mil","T","90.00","MAX-7Q"
"R65","RES_0402[1005M]","1450mil","1290mil","1450mil","1290mil","1450mil","1269.331mil","T","90.00","RES"
"R66","RES_0402[1005M]","1625mil","1610mil","1625mil","1610mil","1625mil","1589.331mil","T","90.00","RES"
"R61","RES_0402[1005M]","1805mil","915mil","1805mil","915mil","1784.331mil","915mil","B","360.00","RES"
"L7","GEN_0402[1005M]","1645mil","1530mil","1645mil","1530mil","1665.669mil","1530mil","T","180.00","27nH"
"L6","GEN_0402[1005M]","1530mil","1600mil","1530mil","1600mil","1515.385mil","1585.385mil","T","45.00","6.8nH"
"J18","SMA","1625mil","1930mil","1625mil","1930mil","1625mil","1930mil","T","0.00","SMA"
"J17","U.FL_1","1768.996mil","1670mil","1800mil","1670mil","1737.992mil","1670mil","T","270.00","U.FL"
"D4","SOD-323","1775.492mil","970mil","1775mil","970mil","1826.181mil","970mil","B","360.00","DIODE"
"C89","CAP_0402[1005M]","1500mil","1520mil","1500mil","1520mil","1500mil","1540.669mil","T","270.00","Cap"
"C88","CAP_0402[1005M]","1425mil","1395mil","1425mil","1395mil","1445.669mil","1395mil","T","180.00","Cap"
"C87","SUPERCAP_1210[3225M]","1585mil","950mil","1585mil","950mil","1628.307mil","950mil","B","180.00","CAP_POL"
"C86","CAP_0402[1005M]","1660mil","1415mil","1660mil","1415mil","1660mil","1435.669mil","T","270.00","Cap"
"C85","CAP_0402[1005M]","1675mil","1240mil","1675mil","1240mil","1675mil","1260.669mil","T","270.00","Cap"
"C83","CAP_0402[1005M]","1725mil","670mil","1725mil","670mil","1725mil","649.331mil","T","90.00","Cap"
"RN2","RES_ARRAY_SMD","3075mil","1415mil","3075mil","1415mil","3027.756mil","1383.504mil","T","360.00","Res Network 1"
"RN1","RES_ARRAY_SMD","3222mil","1415mil","3222mil","1415mil","3174.756mil","1383.504mil","T","360.00","Res Network 1"
"RN7","RES_ARRAY_SMD","250mil","1670mil","250mil","1670mil","218.504mil","1622.756mil","B","90.00","Res Network 1"
"RN6","RES_ARRAY_SMD","245mil","1470mil","245mil","1470mil","213.504mil","1422.756mil","B","90.00","Res Network 1"
"C1","CAP_0402[1005M]","2795mil","1200mil","2795mil","1200mil","2795mil","1179.331mil","B","90.00","CAP"
"C2","CAP_0402[1005M]","2795mil","1120mil","2795mil","1120mil","2795mil","1140.669mil","B","270.00","CAP"
"C3","CAP_0402[1005M]","2125mil","1200mil","2125mil","1200mil","2104.331mil","1200mil","B","360.00","CAP"
"C4","CAP_0402[1005M]","2340mil","730mil","2340mil","730mil","2340mil","709.331mil","B","90.00","CAP"
"C5","CAP_0402[1005M]","3025mil","1040mil","3025mil","1040mil","3045.669mil","1040mil","B","180.00","CAP"
"C6","CAP_0603[1608M]","2200mil","730mil","2200mil","730mil","2200mil","701.457mil","B","90.00","CAP"
"C7","CAP_0402[1005M]","2565mil","730mil","2565mil","730mil","2565mil","750.669mil","B","270.00","Cap"
"C8","CAP_0402[1005M]","2300mil","730mil","2300mil","730mil","2300mil","750.669mil","B","270.00","Cap"
"C9","CAP_0402[1005M]","2125mil","1240mil","2125mil","1240mil","2145.669mil","1240mil","B","180.00","Cap"
"C10","CAP_0402[1005M]","2605mil","1410mil","2605mil","1410mil","2605mil","1389.331mil","B","90.00","Cap"
"C11","CAP_0402[1005M]","2795mil","940mil","2795mil","940mil","2815.669mil","940mil","B","180.00","CAP"
"C12","CAP_0402[1005M]","2795mil","980mil","2795mil","980mil","2774.331mil","980mil","B","360.00","Cap"
"C13","CAP_0402[1005M]","680mil","370mil","680mil","370mil","700.669mil","370mil","B","180.00","Cap"
"C14","CAP_0402[1005M]","810mil","710mil","810mil","710mil","810mil","689.331mil","B","90.00","CAP"
"C15","CAP_0402[1005M]","810mil","790mil","810mil","790mil","810mil","810.669mil","B","270.00","Cap"
"C16","CAP_0402[1005M]","410mil","905mil","410mil","905mil","389.331mil","905mil","B","360.00","Cap"
"C17","CAP_0402[1005M]","435mil","685mil","435mil","685mil","414.331mil","685mil","B","360.00","Cap"
"C18","CAP_0402[1005M]","355mil","685mil","355mil","685mil","375.669mil","685mil","B","180.00","Cap"
"C19","CAP_0402[1005M]","710mil","905mil","710mil","905mil","730.669mil","905mil","B","180.00","Cap"
"C20","CAP_0402[1005M]","2760mil","945mil","2760mil","945mil","2780.669mil","945mil","T","180.00","Cap"
"C21","CAPMP3216X16N","3215mil","635mil","3215mil","635mil","3269.134mil","635mil","T","180.00","CAP_POL"
"C22","CAP_0402[1005M]","3085mil","645mil","3085mil","645mil","3085mil","665.669mil","T","270.00","Cap"
"C23","CAP_0402[1005M]","1250mil","835mil","1250mil","835mil","1250mil","814.331mil","B","90.00","CAP"
"C24","CAP_0603[1608M]","980mil","860mil","980mil","860mil","951.457mil","860mil","B","360.00","CAP"
"C25","CAP_0402[1005M]","980mil","785mil","980mil","785mil","1000.669mil","785mil","B","180.00","CAP"
"C52","CAP_0402[1005M]","740mil","960mil","740mil","960mil","760.669mil","960mil","T","180.00","Cap"
"C54","CAP_0402[1005M]","1075mil","1180mil","1075mil","1180mil","1054.331mil","1180mil","T","360.00","Cap"
"D3","SOD-123","250mil","1245mil","250mil","1245mil","250mil","1307.008mil","B","90.00","SCHOTTKY DIODE"
"J16","HEADER_RA_6_2.54","805mil","1605mil","805mil","1605mil","1055mil","1605mil","T","270.00","FTDI"
"JTAG1","Header_5x2_1.27mm_SMD","665mil","470mil","665mil","470mil","588.228mil","570mil","T","270.00","Mini JTAG 5x2 TH"
"L1","GEN_0402[1005M]","2795mil","900mil","2795mil","900mil","2815.669mil","900mil","B","180.00","#NAME?"
"LED6","LED_0603[1608M]","2990mil","695.158mil","2990mil","695.158mil","2990mil","723.701mil","T","270.00","LED"
"LED7","LED_0603[1608M]","75mil","1017.126mil","75mil","1017.126mil","103.543mil","1017.126mil","T","180.00","LED"
"LED5","LED_0603[1608M]","75mil","1472.126mil","75mil","1472.126mil","103.543mil","1472.126mil","T","180.00","LED"
"LED4","LED_0603[1608M]","75mil","1532.126mil","75mil","1532.126mil","103.543mil","1532.126mil","T","180.00","LED"
"LED3","LED_0603[1608M]","75mil","1592.126mil","75mil","1592.126mil","103.543mil","1592.126mil","T","180.00","LED"
"LED2","LED_0603[1608M]","75mil","1652.126mil","75mil","1652.126mil","103.543mil","1652.126mil","T","180.00","LED"
"LED1","LED_0603[1608M]","75mil","1712.126mil","75mil","1712.126mil","103.543mil","1712.126mil","T","180.00","LED"
"LED8","LED_0603[1608M]","75mil","897.126mil","75mil","897.126mil","103.543mil","897.126mil","T","180.00","LED"
"LED9","LED_0603[1608M]","75mil","957.126mil","75mil","957.126mil","103.543mil","957.126mil","T","180.00","LED"
"Q2","SOT363-6","1580mil","695mil","1580mil","695mil","1550.472mil","730.433mil","B","270.00","N-CH MOSFET-D-ARRAY"
"R1","RES_0402[1005M]","2460mil","730mil","2460mil","730mil","2460mil","709.331mil","B","90.00","RES"
"R2","RES_0603[1608M]","3446.063mil","634.764mil","3446.063mil","634.764mil","3417.52mil","634.764mil","B","360.00","RES"
"R3","RES_0603[1608M]","3446.063mil","569.764mil","3446.063mil","569.764mil","3474.606mil","569.764mil","B","180.00","RES"
"R7","RES_0402[1005M]","2205mil","1480mil","2205mil","1480mil","2205mil","1459.331mil","B","90.00","RES"
"R8","RES_0402[1005M]","2080mil","1480mil","2080mil","1480mil","2080mil","1459.331mil","B","90.00","RES"
"R12","RES_0402[1005M]","3025mil","1000mil","3025mil","1000mil","3004.331mil","1000mil","B","360.00","RES"
"R13","RES_0402[1005M]","550mil","905mil","550mil","905mil","570.669mil","905mil","B","180.00","RES"
"R14","RES_0402[1005M]","630mil","905mil","630mil","905mil","609.331mil","905mil","B","360.00","RES"
"R15","RES_0402[1005M]","790mil","905mil","790mil","905mil","769.331mil","905mil","B","360.00","RES"
"R16","RES_0402[1005M]","2795mil","695mil","2795mil","695mil","2774.331mil","695mil","T","360.00","RES"
"R17","RES_0402[1005M]","2900mil","785mil","2900mil","785mil","2900mil","805.669mil","T","270.00","RES"
"R18","RES_0402[1005M]","2990mil","795.158mil","2990mil","795.158mil","2990mil","815.827mil","T","270.00","RES"
"R22","RES_0402[1005M]","250mil","1070mil","250mil","1070mil","250mil","1049.331mil","B","90.00","RES"
"R23","RES_0402[1005M]","285mil","1070mil","285mil","1070mil","285mil","1049.331mil","B","90.00","RES"
"R38","RES_0402[1005M]","3074.024mil","551mil","3074.024mil","551mil","3053.355mil","551mil","B","360.00","RES"
"R39","RES_0402[1005M]","2749.024mil","551mil","2749.024mil","551mil","2728.355mil","551mil","B","360.00","RES"
"R40","JUMPER_RES_0402","3026.968mil","955mil","3026.968mil","955mil","3006.299mil","955mil","B","360.00","RES"
"R41","JUMPER_RES_0402","3026.968mil","905mil","3026.968mil","905mil","3006.299mil","905mil","B","360.00","RES"
"R42","RES_0402[1005M]","355mil","545mil","355mil","545mil","334.331mil","545mil","B","360.00","RES"
"R43","RES_0402[1005M]","355mil","585mil","355mil","585mil","334.331mil","585mil","B","360.00","RES"
"R44","RES_0402[1005M]","74.998mil","1879.999mil","74.998mil","1879.999mil","54.329mil","1879.999mil","B","360.00","RES"
"R45","RES_0402[1005M]","740mil","920mil","740mil","920mil","760.669mil","920mil","T","180.00","RES"
"R46","JUMPER_RES_0402","895mil","920mil","895mil","920mil","915.669mil","920mil","T","180.00","RES"
"RN3","RES_ARRAY_SMD","1730mil","695mil","1730mil","695mil","1761.496mil","742.244mil","B","270.00","Res Network 1"
"RN4","RES_ARRAY_SMD","3284.024mil","686mil","3284.024mil","686mil","3315.52mil","733.244mil","B","270.00","Res Network 1"
"RN5","RES_ARRAY_SMD","2959.024mil","686mil","2959.024mil","686mil","2990.52mil","733.244mil","B","270.00","Res Network 1"
"S1","SMD_TACTILE_SW_KMR_2","75mil","1880mil","75mil","1880mil","106.496mil","1960.709mil","T","270.00","BIND"
"U1","STM-LQFP64_N","2455mil","1070mil","2455mil","1070mil","2673.504mil","1217.638mil","B","180.00","STM32F405RGT6"
"U2","MS5611-01BA03","625mil","495mil","625mil","495mil","698.819mil","451.693mil","B","90.00","MS5611-01BA03"
"U3","QFN24","675mil","770mil","675mil","770mil","596.26mil","720.787mil","B","360.00","MPU-6000"
"U5","SOT23-8_N","2795mil","825mil","2795mil","825mil","2833.386mil","871.26mil","T","270.00","MAX3051"
"U6","SOT223-3","3175mil","885mil","3175mil","885mil","3084.449mil","762.953mil","T","360.00","LM3940IMPX-3.3/NOPB"
"U7","SOT23-5_N","1125mil","820mil","1125mil","820mil","1180.118mil","857.402mil","B","180.00","LP2992"
"U13","DCT-8_(LSSOP-8)","3134.024mil","686mil","3134.024mil","686mil","3095.639mil","752.929mil","B","270.00","PCA9306DC"
"U14","DCT-8_(LSSOP-8)","2809.024mil","686mil","2809.024mil","686mil","2770.639mil","752.929mil","B","270.00","PCA9306DC"
"U15","TSSOP-14","2815mil","1120mil","2815mil","1120mil","2931.929mil","1043.228mil","T","180.00","SN74LVC125APWR"
"U16","TSSOP-14","2815mil","1370mil","2815mil","1370mil","2931.929mil","1293.228mil","T","180.00","SN74LVC125APWR"
"U17","MICRO-SD_1","806.575mil","1696.791mil","530mil","1965mil","881.968mil","1849.252mil","B","360.00","MICRO-SD_1"
"U18","TQFP32A_M","775mil","1215mil","775mil","1215mil","942.323mil","1104.764mil","T","180.00","ATmega328P-AU"
"USB1","Micro_USB_B_SMT","109.449mil","1245mil","0mil","1245mil","161.811mil","1296.181mil","T","270.00","Micro USB B"
"Y1","CRYSTAL_SMD3_ABM8G_3225","2905mil","1160mil","2905mil","1160mil","2859.724mil","1195.433mil","B","360.00","XTAL_1"
"Y2","RESONATOR_3213","1075mil","1330mil","1075mil","1330mil","1075mil","1292.598mil","T","90.00","XTAL_3"
"Z1","GEN2_0603[1608M]","590mil","865mil","590mil","865mil","590mil","893.543mil","T","270.00","#NAME?"
"Z2","GEN2_0603[1608M]","590mil","755mil","590mil","755mil","590mil","726.457mil","T","90.00","#NAME?"
"C56","CAP_0402[1005M]","550mil","1435mil","550mil","1435mil","550mil","1414.331mil","T","90.00","Cap"
"C55","CAP_0402[1005M]","1076mil","1216mil","1076mil","1216mil","1055.331mil","1216mil","T","360.00","Cap"
"J6","PICOBLADE_1X04_VERT_SMD","2375mil","720mil","2375mil","720mil","2301.181mil","665.866mil","T","360.00","PB-UART3"
"J13","PICOBLADE_1X04_VERT_SMD","2375mil","1320mil","2375mil","1320mil","2301.181mil","1265.866mil","T","360.00","PB-UART1"
"J14","PICOBLADE_1X04_VERT_SMD","2375mil","1020mil","2375mil","1020mil","2301.181mil","965.866mil","T","360.00","PB-UART5"
"U4","QFN16","400mil","795mil","400mil","795mil","370.472mil","849.134mil","B","270.00","HMC5883L"
"C53","CAP_0402[1005M]","1135mil","1745mil","1135mil","1745mil","1135mil","1765.669mil","B","270.00","Cap"
"C58","CAP_0402[1005M]","466.181mil","-1143.74mil","466.181mil","-1143.74mil","486.85mil","-1143.74mil","T","180.00","Cap"
"R56","JUMPER_RES_0402","1741.181mil","-1143.74mil","1741.181mil","-1143.74mil","1741.181mil","-1164.409mil","T","90.00","RES"
"C71","CAP_0402[1005M]","1586.181mil","-1143.74mil","1586.181mil","-1143.74mil","1606.85mil","-1143.74mil","T","180.00","Cap"
"C72","CAP_1210[3225M]","1226.181mil","-1313.74mil","1226.181mil","-1313.74mil","1169.094mil","-1313.74mil","T","360.00","Cap"
"C73","CAP_1210[3225M]","1226.181mil","-1443.74mil","1226.181mil","-1443.74mil","1169.094mil","-1443.74mil","T","360.00","Cap"
"C74","CAP_0402[1005M]","1586.181mil","-983.74mil","1586.181mil","-983.74mil","1606.85mil","-983.74mil","T","180.00","Cap"
"C75","CAP_1210[3225M]","1596.181mil","-1513.74mil","1596.181mil","-1513.74mil","1653.268mil","-1513.74mil","B","180.00","Cap"
"C76","CAP_1210[3225M]","1596.181mil","-1383.74mil","1596.181mil","-1383.74mil","1653.268mil","-1383.74mil","B","180.00","Cap"
"C77","CAP_0805[2012M]","1626.181mil","-1283.74mil","1626.181mil","-1283.74mil","1663.583mil","-1283.74mil","B","180.00","Cap"
"C78","CAP_0603[1608M]","1626.181mil","-1203.74mil","1626.181mil","-1203.74mil","1654.724mil","-1203.74mil","B","180.00","Cap"
"C79","CAP_0402[1005M]","1156.181mil","-1128.74mil","1156.181mil","-1128.74mil","1156.181mil","-1149.409mil","T","90.00","Cap"
"C80","CAP_0402[1005M]","1586.181mil","-1103.74mil","1586.181mil","-1103.74mil","1606.85mil","-1103.74mil","T","180.00","CAP"
"C81","CAP_0402[1005M]","1156.181mil","-1013.74mil","1156.181mil","-1013.74mil","1156.181mil","-1034.409mil","T","90.00","Cap"
"C82","CAP_0402[1005M]","1586.181mil","-1063.74mil","1586.181mil","-1063.74mil","1565.512mil","-1063.74mil","T","360.00","Cap"
"L5","IHLP-3232DZ","1586.178mil","-1393.743mil","1586.181mil","-1393.74mil","1423.78mil","-1393.74mil","T","360.00","6.8uH"
"R54","RES_0402[1005M]","1586.183mil","-983.739mil","1586.183mil","-983.739mil","1606.852mil","-983.739mil","B","180.00","RES"
"R55","RES_0603[1608M]","1256.181mil","-1303.74mil","1256.181mil","-1303.74mil","1256.181mil","-1275.197mil","B","270.00","RES"
"R57","RES_0402[1005M]","1586.181mil","-1023.74mil","1586.181mil","-1023.74mil","1606.85mil","-1023.74mil","T","180.00","RES"
"R58","RES_0402[1005M]","1586.181mil","-943.74mil","1586.181mil","-943.74mil","1565.512mil","-943.74mil","B","360.00","RES"
"R60","RES_0603[1608M]","1196.181mil","-1303.74mil","1196.181mil","-1303.74mil","1196.181mil","-1332.284mil","B","90.00","RES"
"C59","CAP_1210[3225M]","106.181mil","-1313.74mil","106.181mil","-1313.74mil","49.094mil","-1313.74mil","T","360.00","Cap"
"C60","CAP_1210[3225M]","106.181mil","-1443.74mil","106.181mil","-1443.74mil","49.094mil","-1443.74mil","T","360.00","Cap"
"C61","CAP_0402[1005M]","466.183mil","-983.739mil","466.183mil","-983.739mil","486.852mil","-983.739mil","T","180.00","Cap"
"C62","CAP_1210[3225M]","476.181mil","-1513.74mil","476.181mil","-1513.74mil","533.268mil","-1513.74mil","B","180.00","Cap"
"C63","CAP_1210[3225M]","476.181mil","-1383.74mil","476.181mil","-1383.74mil","533.268mil","-1383.74mil","B","180.00","Cap"
"C64","CAP_0805[2012M]","506.181mil","-1283.74mil","506.181mil","-1283.74mil","543.583mil","-1283.74mil","B","180.00","Cap"
"C65","CAP_0603[1608M]","506.181mil","-1203.74mil","506.181mil","-1203.74mil","534.724mil","-1203.74mil","B","180.00","Cap"
"C66","CAP_0402[1005M]","36.181mil","-1128.74mil","36.181mil","-1128.74mil","36.181mil","-1149.409mil","T","90.00","Cap"
"C67","CAP_0402[1005M]","466.181mil","-1103.74mil","466.181mil","-1103.74mil","486.85mil","-1103.74mil","T","180.00","CAP"
"C68","CAP_0402[1005M]","36.181mil","-1013.74mil","36.181mil","-1013.74mil","36.181mil","-1034.409mil","T","90.00","Cap"
"C69","CAP_0402[1005M]","466.181mil","-1063.74mil","466.181mil","-1063.74mil","445.512mil","-1063.74mil","T","360.00","Cap"
"L4","IHLP-3232DZ","466.178mil","-1393.743mil","466.181mil","-1393.74mil","303.779mil","-1393.74mil","T","360.00","6.8uH"
"R47","RES_0402[1005M]","466.181mil","-983.74mil","466.181mil","-983.74mil","486.85mil","-983.74mil","B","180.00","RES"
"R48","RES_0603[1608M]","136.181mil","-1303.74mil","136.181mil","-1303.74mil","136.181mil","-1275.197mil","B","270.00","RES"
"R49","JUMPER_RES_0402","621.181mil","-1143.74mil","621.181mil","-1143.74mil","621.181mil","-1164.409mil","T","90.00","RES"
"R50","RES_0402[1005M]","466.181mil","-1023.74mil","466.181mil","-1023.74mil","486.85mil","-1023.74mil","T","180.00","RES"
"R51","RES_0402[1005M]","466.181mil","-943.74mil","466.181mil","-943.74mil","445.512mil","-943.74mil","B","360.00","RES"
"R53","RES_0603[1608M]","76.181mil","-1303.74mil","76.181mil","-1303.74mil","76.181mil","-1332.284mil","B","90.00","RES"
"U19","HTSSOP-16","246.181mil","-1083.74mil","246.181mil","-1083.74mil","363.11mil","-1173.307mil","T","180.00","LM43603PWPT"
"U21","HTSSOP-16","1366.181mil","-1083.74mil","1366.181mil","-1083.74mil","1483.11mil","-1173.307mil","T","180.00","LM43603PWPT"
"U10","HTSSOP-16","1366.181mil","-268.74mil","1366.181mil","-268.74mil","1483.11mil","-358.307mil","T","180.00","LM43603PWPT"
"U8","HTSSOP-16","246.181mil","-268.74mil","246.181mil","-268.74mil","363.11mil","-358.307mil","T","180.00","LM43603PWPT"
"R37","RES_0603[1608M]","1196.181mil","-488.74mil","1196.181mil","-488.74mil","1196.181mil","-517.284mil","B","90.00","RES"
"R35","RES_0402[1005M]","1586.181mil","-128.74mil","1586.181mil","-128.74mil","1565.512mil","-128.74mil","B","360.00","RES"
"R34","RES_0402[1005M]","1586.181mil","-208.74mil","1586.181mil","-208.74mil","1606.85mil","-208.74mil","T","180.00","RES"
"R33","JUMPER_RES_0402","1741.181mil","-328.74mil","1741.181mil","-328.74mil","1741.181mil","-349.409mil","T","90.00","RES"
"R32","RES_0603[1608M]","1256.181mil","-488.74mil","1256.181mil","-488.74mil","1256.181mil","-460.197mil","B","270.00","RES"
"R31","RES_0402[1005M]","1586.183mil","-168.739mil","1586.183mil","-168.739mil","1606.852mil","-168.739mil","B","180.00","RES"
"R30","RES_0603[1608M]","76.181mil","-488.74mil","76.181mil","-488.74mil","76.181mil","-517.284mil","B","90.00","RES"
"R28","RES_0402[1005M]","466.181mil","-128.74mil","466.181mil","-128.74mil","445.512mil","-128.74mil","B","360.00","RES"
"R27","RES_0402[1005M]","466.181mil","-208.74mil","466.181mil","-208.74mil","486.85mil","-208.74mil","T","180.00","RES"
"R26","JUMPER_RES_0402","621.181mil","-328.74mil","621.181mil","-328.74mil","621.181mil","-349.409mil","T","90.00","RES"
"R25","RES_0603[1608M]","136.181mil","-488.74mil","136.181mil","-488.74mil","136.181mil","-460.197mil","B","270.00","RES"
"R24","RES_0402[1005M]","466.181mil","-168.74mil","466.181mil","-168.74mil","486.85mil","-168.74mil","B","180.00","RES"
"L3","IHLP-3232DZ","1586.178mil","-578.743mil","1586.181mil","-578.74mil","1423.78mil","-578.74mil","T","360.00","6.8uH"
"L2","IHLP-3232DZ","466.178mil","-578.743mil","466.181mil","-578.74mil","303.779mil","-578.74mil","T","360.00","6.8uH"
"D2","SOD-128","1071.181mil","-503.74mil","1071.181mil","-503.74mil","1071.181mil","-590.354mil","B","270.00","SCHOTTKY DIODE"
"D1","SOD-128","746.181mil","-503.74mil","746.181mil","-503.74mil","746.181mil","-590.354mil","B","270.00","SCHOTTKY DIODE"
"C51","CAP_0402[1005M]","1586.181mil","-248.74mil","1586.181mil","-248.74mil","1565.512mil","-248.74mil","T","360.00","Cap"
"C50","CAP_0402[1005M]","1156.181mil","-198.74mil","1156.181mil","-198.74mil","1156.181mil","-219.41mil","T","90.00","Cap"
"C49","CAP_0402[1005M]","1586.181mil","-288.74mil","1586.181mil","-288.74mil","1606.85mil","-288.74mil","T","180.00","CAP"
"C48","CAP_0402[1005M]","1156.181mil","-313.74mil","1156.181mil","-313.74mil","1156.181mil","-334.409mil","T","90.00","Cap"
"C47","CAP_0603[1608M]","1626.181mil","-388.74mil","1626.181mil","-388.74mil","1654.724mil","-388.74mil","B","180.00","Cap"
"C46","CAP_0805[2012M]","1626.181mil","-468.74mil","1626.181mil","-468.74mil","1663.583mil","-468.74mil","B","180.00","Cap"
"C45","CAP_1210[3225M]","1596.181mil","-568.74mil","1596.181mil","-568.74mil","1653.268mil","-568.74mil","B","180.00","Cap"
"C44","CAP_1210[3225M]","1596.181mil","-698.74mil","1596.181mil","-698.74mil","1653.268mil","-698.74mil","B","180.00","Cap"
"C43","CAP_0402[1005M]","1586.181mil","-168.74mil","1586.181mil","-168.74mil","1606.85mil","-168.74mil","T","180.00","Cap"
"C42","CAP_1210[3225M]","1226.181mil","-628.74mil","1226.181mil","-628.74mil","1169.094mil","-628.74mil","T","360.00","Cap"
"C41","CAP_1210[3225M]","1226.181mil","-498.74mil","1226.181mil","-498.74mil","1169.094mil","-498.74mil","T","360.00","Cap"
"C40","CAP_0402[1005M]","1586.181mil","-328.74mil","1586.181mil","-328.74mil","1606.85mil","-328.74mil","T","180.00","Cap"
"C38","CAP_0402[1005M]","466.181mil","-248.74mil","466.181mil","-248.74mil","445.512mil","-248.74mil","T","360.00","Cap"
"C37","CAP_0402[1005M]","36.181mil","-198.74mil","36.181mil","-198.74mil","36.181mil","-219.41mil","T","90.00","Cap"
"C36","CAP_0402[1005M]","466.181mil","-288.74mil","466.181mil","-288.74mil","486.85mil","-288.74mil","T","180.00","CAP"
"C35","CAP_0402[1005M]","36.181mil","-313.74mil","36.181mil","-313.74mil","36.181mil","-334.409mil","T","90.00","Cap"
"C34","CAP_0603[1608M]","506.181mil","-388.74mil","506.181mil","-388.74mil","534.724mil","-388.74mil","B","180.00","Cap"
"C33","CAP_0805[2012M]","506.181mil","-468.74mil","506.181mil","-468.74mil","543.583mil","-468.74mil","B","180.00","Cap"
"C32","CAP_1210[3225M]","476.181mil","-568.74mil","476.181mil","-568.74mil","533.268mil","-568.74mil","B","180.00","Cap"
"C31","CAP_1210[3225M]","476.181mil","-698.74mil","476.181mil","-698.74mil","533.268mil","-698.74mil","B","180.00","Cap"
"C30","CAP_0402[1005M]","466.183mil","-168.739mil","466.183mil","-168.739mil","486.852mil","-168.739mil","T","180.00","Cap"
"C29","CAP_1210[3225M]","106.181mil","-628.74mil","106.181mil","-628.74mil","49.094mil","-628.74mil","T","360.00","Cap"
"C28","CAP_1210[3225M]","106.181mil","-498.74mil","106.181mil","-498.74mil","49.094mil","-498.74mil","T","360.00","Cap"
"C27","CAP_0402[1005M]","466.183mil","-328.74mil","466.183mil","-328.74mil","486.852mil","-328.74mil","T","180.00","Cap"

